S	C	CS	SM	CM	CSM	Mrainfall	WetQuarter	WetDry	MeanTemp	ColdMonth	WarmMonth
71	20	0.28				1100	763	0.69	25.8	15	35.1
44	21	0.48				1400	893	0.64	27.5	16.3	36.8
59	28	0.47				1402	904	0.64	27.1	16	35.4
44	21	0.48				1231	822	0.67	27.1	17.7	33.9
89	7	0.08				1237	822	0.66	26.9	17.7	33.6
54	33	0.61				1274	887	0.70	24	15.4	32.2
63	29	0.46				1159	814	0.70	25.8	14.8	35
65	26	0.40				1559	1007	0.65	27.4	17.5	34.6
