Mound_ID,Mound_ID,Mound_Shape,Mound_Shape_XLS,Marker,Soil_Sand_Percentage,Soil_Clay_Percentage,Soil_Clay_to_Soil_Ratio,Mound_Sand_Percent,Mound_Clay_Percent,Mound_Clay_to_Soil_Ratio,Mean_Annual_RainFall,Wettest_Quarter_RainFall,Annual_Quarter_RainFall_Ratio,Mean_Annual_Temperature,Coldest_Month_Temperature,Warmest_Month_Temperature,Köppen_Class,Cone_Size,Cone_Stren
41,41,Dome,Dome,,56,29,0.52,,, ,2080,946,0.45,26.1,19.8,32.1,Aw,0,0
42,42,Dome,Dome,,38,47,1.24,,, ,1150,784,0.68,26.5,16.6,38.2,Aw,0,0
43,43,Dome,Dome,,33,39,1.18,23,48,2.09,1270,623,0.49,20,17.2,29,Am,0,0
44,44,Mushroom,Mushroom,,56,28,0.5,,,,1109,854,0.77,27.1,13.3,38.8,Aw,0,0
45,45,Mushroom,Mushroom,,25,50,2,16,48,3,1360,609,0.45,23.7,17,30.3,Aw,0,0
46,46,Dome,Dome,,71,20,0.28,,, ,1700,1120,0.66,27.4,18.1,33.9,Aw,0,0
47,47,Dome,Dome,,36,28,0.78,,, ,2340,1463,0.63,27.3,17.8,36.7,Am,0,0
48,48,Cone,Cone,,65,21,0.32,,,,354,202,0.57,20.2,8.1,34.5,BSh,Large,Medium
49,49,Dome,Dome,,69,15,0.22,,,,274,90,0.33,17.3,6.9,27.9,BSk,0,0
50,50,Cone,Cone,,40,25,0.63,,,,1231,511,0.42,18.1,5.1,29.1,Cfa,Large,Low
51,51,Meridian,Meridian,,59,28,0.47,,,,1402,904,0.64,27.1,16,35.4,Aw,0,0
52,52,Cone,Cone,,46,25,0.54,,,,387,251,0.65,25.4,9.6,37.9,BWh,Medium,Strong
53,53,Cone,Cone,,71,20,0.28,,,,1505,966,0.64,27.3,17.3,34.4,Aw,Small,Medium
54,54,Dome,Dome,,36,42,1.17,,,,1111,730,0.66,24.1,13.2,31.7,Aw,0,0
55,55,Cone,Cone,,73,9,0.12,,,,383,235,0.61,26.2,10,39.1,BWh,Large,Strong
56,56,Dome,Dome,,73,9,0.12,,,,383,235,0.61,26.2,10,39.1,BWh,0,0
57,57,Cone,Cone,,53,34,0.64,,,,974,544,0.56,16.7,6.3,31.8,Csa,Medium,Strong
58,58,Cathedral,Cathedral,,38,39,1.03,,,,784,431,0.55,23.6,14.4,33.9,Aw,0,0
59,59,Meridian,Meridian,,44,21,0.48,,,,1231,822,0.67,27.1,17.7,33.9,Aw,0,0
60,60,Meridian,Meridian,,89,7,0.08,,,,1237,822,0.66,26.9,17.7,33.6,Aw,0,0
61,61,Meridian,Meridian,,54,33,0.61,,,,1274,887,0.7,24,15.4,32.2,Aw,0,0
62,62,Meridian,Meridian,,63,29,0.46,,,,1159,814,0.7,25.8,14.8,35,Aw,0,0
63,63,Meridian,Meridian,,65,26,0.4,,,,1559,1007,0.65,27.4,17.5,34.6,Aw,0,0
64,64,Mushroom,Mushroom,,41,44,1.07,,,,2673,1142,0.43,25.3,20.9,30.3,Af,0,0
65,65,Mushroom,Mushroom,,44,44,1,,,,1633,670,0.41,23,17.5,21.4,Aw,0,0
66,66,Mushroom,Mushroom,,39,45,1.15,,,,1927,831,0.43,24.3,18.9,30.5,Aw,0,0
